year,month,day,order,product
2008,4,1,1,A13
2008,4,1,2,A16
2008,4,1,3,B4
2008,4,1,4,B17
2008,4,1,5,B8
2008,4,1,6,C56
2008,4,1,7,C57
2008,4,1,8,P67
2008,4,1,9,P82
2008,4,1,1,B31
2008,4,1,2,B21
2008,4,1,3,B24
2008,4,1,4,B27
2008,4,1,5,A10
2008,4,1,6,A10
2008,4,1,7,B27
2008,4,1,8,P1
2008,4,1,9,P34
2008,4,1,10,P33
2008,4,1,1,B17
2008,4,1,2,C4
2008,4,1,3,C7
2008,4,1,4,C10
2008,4,1,5,C17
2008,4,1,6,P77
2008,4,1,1,A34
2008,4,1,2,A37
2008,4,1,3,C4
2008,4,1,4,C25
2008,4,1,1,C21
2008,4,1,1,C7
2008,4,1,2,C15
2008,4,1,3,C53
2008,4,1,4,B17
2008,4,1,5,B26
2008,4,1,1,A11
2008,4,1,2,C5
2008,4,1,3,P60
2008,4,1,4,P56
2008,4,1,5,P55
2008,4,1,6,P48
2008,4,1,7,P50
2008,4,1,8,P42
2008,4,1,9,P23
2008,4,1,10,P1
2008,4,1,11,B4
2008,4,1,1,C49
2008,4,1,2,B23
2008,4,1,3,C5
2008,4,1,4,C19
2008,4,1,5,C34
2008,4,1,6,C40
2008,4,1,7,C50
2008,4,1,8,C42
2008,4,1,9,B24
2008,4,1,1,A18
2008,4,1,2,A1
2008,4,1,3,B26
2008,4,1,1,A1
2008,4,1,2,B1
2008,4,1,3,B4
2008,4,1,4,B16
2008,4,1,5,B17
2008,4,1,1,A3
2008,4,1,1,B4
2008,4,1,2,B3
2008,4,1,3,B3
2008,4,1,4,B30
2008,4,1,5,B27
2008,4,1,6,C17
2008,4,1,7,P16
2008,4,1,1,A1
2008,4,1,2,A2
2008,4,1,3,A5
2008,4,1,1,A41
2008,4,1,1,A1
2008,4,1,2,A2
2008,4,1,3,A5
2008,4,1,4,B1
2008,4,1,5,B2
2008,4,1,6,B3
2008,4,1,7,B13
2008,4,1,8,B15
2008,4,1,9,B16
2008,4,1,10,B17
2008,4,1,11,B9
2008,4,1,12,B20
2008,4,1,13,B21
2008,4,1,14,B23
2008,4,1,15,B25
2008,4,1,16,B26
2008,4,1,17,B33
2008,4,1,18,B34
2008,4,1,19,C2
2008,4,1,20,C5
2008,4,1,21,C33
2008,4,1,22,C35
2008,4,1,23,C55
2008,4,1,24,C56
2008,4,1,25,C59
2008,4,1,1,P61
2008,4,1,2,P62
2008,4,1,1,C7
2008,4,1,2,C57
2008,4,1,3,A6
2008,4,1,4,C47
2008,4,1,5,B26
2008,4,1,6,B33
2008,4,1,7,B32
2008,4,1,1,A17
2008,4,1,2,A17
2008,4,1,3,A2
2008,4,1,4,A1
2008,4,1,5,A7
2008,4,1,6,A8
2008,4,1,7,A9
2008,4,1,8,A20
2008,4,1,9,A34
2008,4,1,10,A32
2008,4,1,11,C7
2008,4,1,1,A10
2008,4,1,2,C11
2008,4,1,3,C5
2008,4,1,4,C22
2008,4,1,5,P12
2008,4,1,1,A4
2008,4,1,2,A23
2008,4,1,3,P1
2008,4,1,1,P12
2008,4,1,2,B12
2008,4,1,3,B10
2008,4,1,4,B15
2008,4,1,5,C14
2008,4,1,6,C5
2008,4,1,7,P1
2008,4,1,1,A12
2008,4,1,2,A10
2008,4,1,3,A31
2008,4,1,4,A20
2008,4,1,1,A15
2008,4,1,2,B27
2008,4,1,3,P56
2008,4,1,1,B1
2008,4,1,2,B7
2008,4,1,3,B4
2008,4,1,4,B32
2008,4,1,5,C15
2008,4,1,6,P1
2008,4,1,1,B17
2008,4,1,2,C7
2008,4,1,1,A11
2008,4,1,2,A10
2008,4,1,1,B2
2008,4,1,2,A4
2008,4,1,3,C2
2008,4,1,4,C8
2008,4,1,5,C18
2008,4,1,1,A6
2008,4,1,2,A15
2008,4,1,3,A10
2008,4,1,4,C7
2008,4,1,5,P2
2008,4,1,6,P10
2008,4,1,1,A11
2008,4,1,2,A1
2008,4,1,3,A7
2008,4,1,1,B7
2008,4,1,2,B9
